site,country,title,price_jpy,review_count,seller_badge,search_position,monthly_sold_count,is_bestseller,bestseller_rank,validity,usage_validity,activation_validity,network_type,carrier_support_local,carrier_support_kr,data_amount,product_url,asin,site_product_id,seller,brand,evidence
qoo10_jp,kr,『 見逃し注意！』韓国eSIM 日本の安心販売 3日間 4日間 高速データ無制限 完全無制限 正規eSIM オンラインサービスにて納品 韓国旅行1.5日間 eSIM韓国 3日間 2日間 韓国 eSIM,750,,Power seller,2,,,,3일,3일,180일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e8%a6%8b%e9%80%83%e3%81%97%e6%b3%a8%e6%84%8f%ef%bc%81-%e9%9f%93%e5%9b%bdESIM-%e6%97%a5%e6%9c%ac%e3%81%ae%e5%ae%89%e5%bf%83%e8%b2%a9%e5%a3%b2-3%e6%97%a5%e9%96%93-4%e6%97%a5%e9%96%93-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8fESIM-%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81/1141475198,,1141475198,正規eSIM 超高速 安心保証⚡,,"{""title"": [""『 見逃し注意！』韓国eSIM 日本の安心販売 3日間 4日間 高速データ無制限 完全無制限 正規eSIM オンラインサービスにて納品 韓国旅行1.5日間 eSIM韓国 3日間 2日間 韓国 eSIM""], ""option_candidates"": [""韓国 1.5日 36時間（超高速無限データ）（有効期間180日）"", ""韓国 2日 48時間（超高速無限データ）（有効期間180日）"", ""韓国 2.5日 60時間（超高速無限データ）（有効期間180日）""], ""representative_option"": [""韓国 3日 72時間（超高速無限データ）（有効期間180日）"", ""title_match_score=8""], ""price_jpy"": [""販売価格 750円 + option surcharge 0"", ""韓国 3日 72時間（超高速無限データ）（有効期間180日）""], ""usage_validity"": [""韓国 3日 72時間（超高速無限データ）（有効期間180日）""], ""activation_validity"": [""韓国 3日 72時間（超高速無限データ）（有効期間180日）""], ""data_amount"": [""韓国 3日 72時間（超高速無限データ）（有効期間180日）""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム,1600,,Power seller,3,,,,3일,3일,90일,local,"{""skt"": null, ""kt"": true, ""lgu"": null}","{""skt"": null, ""kt"": true, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/KT-KT-JAPAN%e7%9b%b4%e5%96%b6-%e9%9f%93%e5%9b%bd-ESIM-3%e6%97%a5%e9%96%93-72%e6%99%82%e9%96%93-%e9%ab%98%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-010%e9%9b%bb%e8%a9%b1%e7%95%aa%e5%8f%b7%e4%bb%98-%e9%9b%bb%e8%a9%b1-SMS%e5%8f%af%ef%bc%bb%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%89120%e6%97%a5%e6%9c%9f%e9%99%90%ef%bc%bdQR%e5%8d%b3%e7%b4%8d/1021253989,,1021253989,KT Japan Shop,,"{""title"": [""【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム""], ""price_jpy"": [""販売価格 1,600円""], ""usage_validity"": [""【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム""], ""activation_validity"": [""【シンガポールeSIM】1日間／無制限／データ通信専用／日本人による安心LINEサポート／最短即日発行／有効期限90日／パスポート番号不要／安心の日本企業 770円 480円 5.0 (3)""], ""data_amount"": [""【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム""], ""network_type"": [""qoo10_local_signal: 【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム""], ""carrier_support_local"": [""KT: 【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC"", ""KT: 「【KT Japan直営】韓国 eSIM 3日間 72時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 3日 イーシム」 スマートフォン・タブレットPCがお得な[Qoo10]（キューテン）はeBay Japanのネット通販"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpo""], ""seller"": [""KT Japan Shop""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム,1900,,Power seller,7,,,,4일,4일,90일,local,"{""skt"": null, ""kt"": true, ""lgu"": null}","{""skt"": null, ""kt"": true, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/KT-KT-JAPAN%e7%9b%b4%e5%96%b6-%e9%9f%93%e5%9b%bd-ESIM-4%e6%97%a5%e9%96%93-96%e6%99%82%e9%96%93-%e9%ab%98%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-010%e9%9b%bb%e8%a9%b1%e7%95%aa%e5%8f%b7%e4%bb%98-%e9%9b%bb%e8%a9%b1-SMS%e5%8f%af%ef%bc%bb%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%89120%e6%97%a5%e6%9c%9f%e9%99%90%ef%bc%bdQR%e5%8d%b3%e7%b4%8d/1116608890,,1116608890,KT Japan Shop,,"{""title"": [""【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム""], ""price_jpy"": [""販売価格 1,900円""], ""usage_validity"": [""【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム""], ""activation_validity"": [""【シンガポールeSIM】1日間／無制限／データ通信専用／日本人による安心LINEサポート／最短即日発行／有効期限90日／パスポート番号不要／安心の日本企業 770円 480円 5.0 (3)""], ""data_amount"": [""【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム""], ""network_type"": [""qoo10_local_signal: 【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム""], ""carrier_support_local"": [""KT: 【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC"", ""KT: 「【KT Japan直営】韓国 eSIM 4日間 96時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 4日 イーシム」 スマートフォン・タブレットPCがお得な[Qoo10]（キューテン）はeBay Japanのネット通販"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpo""], ""seller"": [""KT Japan Shop""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム,2300,,Power seller,8,,,,5일,5일,90일,local,"{""skt"": null, ""kt"": true, ""lgu"": null}","{""skt"": null, ""kt"": true, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/KT-KT-JAPAN%e7%9b%b4%e5%96%b6-%e9%9f%93%e5%9b%bd-ESIM-5%e6%97%a5%e9%96%93-120%e6%99%82%e9%96%93-%e9%ab%98%e9%80%9f%e7%84%a1%e5%88%b6%e9%99%90-010%e9%9b%bb%e8%a9%b1%e7%95%aa%e5%8f%b7%e4%bb%98-%e9%9b%bb%e8%a9%b1-SMS%e5%8f%af%ef%bc%bb%e8%b3%bc%e5%85%a5%e3%81%8b%e3%82%89120%e6%97%a5%e6%9c%9f%e9%99%90%ef%bc%bdQR%e5%8d%b3%e7%b4%8d/1036505830,,1036505830,KT Japan Shop,,"{""title"": [""【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム""], ""price_jpy"": [""販売価格 2,300円""], ""usage_validity"": [""【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム""], ""activation_validity"": [""【シンガポールeSIM】1日間／無制限／データ通信専用／日本人による安心LINEサポート／最短即日発行／有効期限90日／パスポート番号不要／安心の日本企業 770円 480円 5.0 (3)""], ""data_amount"": [""【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム""], ""network_type"": [""qoo10_local_signal: 【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム""], ""carrier_support_local"": [""KT: 【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC"", ""KT: 「【KT Japan直営】韓国 eSIM 5日間 120時間 高速無制限 010電話番号付 電話/SMS可［購入から120日期限］QR即納 日本語対応 正規eSIM eシム 韓国旅行 5日 イーシム」 スマートフォン・タブレットPCがお得な[Qoo10]（キューテン）はeBay Japanのネット通"", ""KT: [Qoo10] KT 【KT Japan直営】韓国 eSIM : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カート Qpo""], ""seller"": [""KT Japan Shop""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,韓国 eSIM 安心 3日間 超高速データ無制限 正規 オンラインサービスにて納品 韓国旅行 eSIM 2.5日間 eSIM 3日間 eSIM 韓国 eSIM 2日間 eSIM 韓国,940,2,Power seller,10,,,,3일,3일,3일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%9f%93%e5%9b%bd-ESIM-%e5%ae%89%e5%bf%83-3%e6%97%a5%e9%96%93-%e8%b6%85%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8f-%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81-%e9%9f%93%e5%9b%bd%e6%97%85%e8%a1%8c-ESIM-2-5%e6%97%a5%e9%96%93-ESIM/1142944669,,1142944669,正規eSIM 超高速 安心保証⚡,,"{""title"": [""韓国 eSIM 安心 3日間 超高速データ無制限 正規 オンラインサービスにて納品 韓国旅行 eSIM 2.5日間 eSIM 3日間 eSIM 韓国 eSIM 2日間 eSIM 韓国""], ""option_candidates"": [""3日 72時間（超高速無限データ）(+310円) - 数量 : 9986"", ""2.5日 60時間（超高速無限データ）(+220円) - 数量 : 9988"", ""2日 48時間（超高速無限データ） - 数量 : 9993""], ""representative_option"": [""3日 72時間（超高速無限データ）(+310円) - 数量 : 9986"", ""title_match_score=8""], ""price_jpy"": [""販売価格 630円 + option surcharge 310"", ""3日 72時間（超高速無限データ）(+310円) - 数量 : 9986""], ""usage_validity"": [""3日 72時間（超高速無限データ）(+310円) - 数量 : 9986""], ""activation_validity"": [""韓国 eSIM 安心 3日間 超高速データ無制限 正規 オンラインサービスにて納品 韓国旅行 eSIM 2.5日間 eSIM 3日間 eSIM 韓国 eSIM 2日間 eSIM 韓国""], ""data_amount"": [""3日 72時間（超高速無限データ）(+310円) - 数量 : 9986""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""正規eSIM 超高速 安心保証⚡""], ""review_count"": [""search_result: 2""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効,580,109,Power seller,9,,,,2일,2일,90일,local,"{""skt"": null, ""kt"": null, ""lgu"": true}","{""skt"": null, ""kt"": null, ""lgu"": true}",unlimited,https://www.qoo10.jp/item/SK-%e3%83%86%e3%83%ac%e3%82%b3%e3%83%a0-5%e5%88%86%e4%bb%a5%e5%86%85%e3%81%ab%e7%b4%8d%e5%93%81-%e9%9f%93%e5%9b%bd-ESIM-2%e6%97%a5%e9%96%93%ef%bc%8f%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90%ef%bc%88%e4%bd%8e%e9%80%9f%e5%8c%96%e7%84%a1%e3%81%97%ef%bc%89%ef%bc%8f5G%e3%83%bb4G%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e9%80%9a%e4%bf%a1%ef%bc%8f%e3%83%91%e3%82%b9%e3%83%9d%e3%83%bc%e3%83%88%e7%99%bb%e9%8c%b2%e4%b8%8d%e8%a6%81%ef%bc%8fSK%e3%83%86%e3%83%ac%e3%82%b3%e3%83%a0%e3%83%bbLGU/1127648140,,1127648140,スマートeSIM,,"{""title"": [""【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効""], ""price_jpy"": [""販売価格 580円""], ""usage_validity"": [""【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効""], ""activation_validity"": [""【シンガポールeSIM】1日間／無制限／データ通信専用／日本人による安心LINEサポート／最短即日発行／有効期限90日／パスポート番号不要／安心の日本企業 770円 480円 5.0 (3)""], ""data_amount"": [""【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""carrier_support_local"": [""LGU+: 【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効"", ""LGU+: 「【5分以内に納品】 韓国 eSIM 2日間／完全無制限（低速化無し）／5G・4G高速データ通信／パスポート登録不要／SKテレコム・LGU+のダブル回線／ご購入から60日間有効」 スマートフォン・タブレットPCがお得な[Qoo10]（キューテン）はeBay Japanのネット通販サイトです。"", ""LGU+: [Qoo10] SK テレコム 【5分以内に納品】 韓国 eSIM 2日 : スマートフォン・タブレットPC Go to the Content Go to the Main Menu Go to the Viewed Today Go to the Footer X ログイン My Qoo10 カ""], ""seller"": [""スマートeSIM""], ""review_count"": [""search_result: 109""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【おすすめ 超高速 韓国 eSIM】4日間 無制限 正規eSIM 安心保証 超高速 データ無制限 韓国eSIM 無制限 QRコードで esim 韓国 3日間 2日間 韓国旅行 eSIM,1080,70,Power seller,11,,,,4일,4일,180일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e3%81%8a%e3%81%99%e3%81%99%e3%82%81-%e8%b6%85%e9%ab%98%e9%80%9f-%e9%9f%93%e5%9b%bd-ESIM-4%e6%97%a5%e9%96%93-%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8fESIM-%e5%ae%89%e5%bf%83%e4%bf%9d%e8%a8%bc-%e8%b6%85%e9%ab%98%e9%80%9f-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e9%9f%93%e5%9b%bdESIM-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7/1165449886,,1165449886,正規eSIM 即時対応 60万枚突破 �...,,"{""title"": [""【おすすめ 超高速 韓国 eSIM】4日間 無制限 正規eSIM 安心保証 超高速 データ無制限 韓国eSIM 無制限 QRコードで esim 韓国 3日間 2日間 韓国旅行 eSIM""], ""option_candidates"": [""2日 48時間（超高速無限データ）（有効期間180日） - 数量 : 999974"", ""2.5日 60時間（超高速無限データ）（有効期間180日）(+200円) - 数量 : 999960"", ""3日 72時間（超高速無限データ）（有効期間180日）(+230円) - 数量 : 999889""], ""representative_option"": [""4日 96時間（超高速無限データ）（有効期間180日）(+360円) - 数量 : 999649"", ""title_match_score=8""], ""price_jpy"": [""販売価格 720円 + option surcharge 360"", ""4日 96時間（超高速無限データ）（有効期間180日）(+360円) - 数量 : 999649""], ""usage_validity"": [""4日 96時間（超高速無限データ）（有効期間180日）(+360円) - 数量 : 999649""], ""activation_validity"": [""4日 96時間（超高速無限データ）（有効期間180日）(+360円) - 数量 : 999649""], ""data_amount"": [""4日 96時間（超高速無限データ）（有効期間180日）(+360円) - 数量 : 999649""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""正規eSIM 即時対応 60万枚突破 �...""], ""review_count"": [""search_result: 70""], ""seller_badge"": [""search_result: Power seller""]}"
qoo10_jp,kr,【韓国 eSIM】超高速 安心 無制限 正規eSIM 超高速 2日間 データ無制限 韓国eSIM 無制限 QRコードで esim 韓国 2日間 簡単 登録 eSIM 不要電話番号,580,1,General seller,12,,,,2일,2일,180일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%9f%93%e5%9b%bd-ESIM-%e8%b6%85%e9%ab%98%e9%80%9f-%e5%ae%89%e5%bf%83-%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8fESIM-%e8%b6%85%e9%ab%98%e9%80%9f-2%e6%97%a5%e9%96%93-%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e9%9f%93%e5%9b%bdESIM-%e7%84%a1%e5%88%b6%e9%99%90-QR%e3%82%b3%e3%83%bc%e3%83%89%e3%81%a7-ESIM/1196459323,,1196459323,正規eSIM 即時対応 年間90万枚突破,,"{""title"": [""【韓国 eSIM】超高速 安心 無制限 正規eSIM 超高速 2日間 データ無制限 韓国eSIM 無制限 QRコードで esim 韓国 2日間 簡単 登録 eSIM 不要電話番号""], ""option_candidates"": [""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977"", ""1.5日 36時間（無限データ）（有効期間180日）(+160円) - 数量 : 9990"", ""1日 24時間（無限データ）（有効期間180日） - 数量 : 9988""], ""representative_option"": [""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977"", ""title_match_score=8""], ""price_jpy"": [""販売価格 390円 + option surcharge 190"", ""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977""], ""usage_validity"": [""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977""], ""activation_validity"": [""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977""], ""data_amount"": [""2日 48時間（無限データ）（有効期間180日）(+190円) - 数量 : 9977""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""正規eSIM 即時対応 年間90万枚突破""], ""review_count"": [""search_result: 1""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,kr,【韓国 eSIM】 無制限 3~5日間 日本の安心販売 3~5日 高速データ無制限 完全無制限 正規eSIM オンラインサービスにて納品 韓国旅行 韓国 eSIM 韓国 eSIM,1370,13,General seller,14,,,,5일,5일,180일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%9f%93%e5%9b%bd-ESIM-%e7%84%a1%e5%88%b6%e9%99%90-3-5%e6%97%a5%e9%96%93-%e6%97%a5%e6%9c%ac%e3%81%ae%e5%ae%89%e5%bf%83%e8%b2%a9%e5%a3%b2-3-5%e6%97%a5-%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e5%ae%8c%e5%85%a8%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8fESIM-%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81/1172994609,,1172994609,正規eSIM 即時対応 年間90万枚突破,,"{""title"": [""【韓国 eSIM】 無制限 3~5日間 日本の安心販売 3~5日 高速データ無制限 完全無制限 正規eSIM オンラインサービスにて納品 韓国旅行 韓国 eSIM 韓国 eSIM""], ""option_candidates"": [""2.5日 60時間（超高速無限データ）（有効期間180日） - 数量 : 999992"", ""3日 72時間（超高速無限データ）（有効期間180日）(+160円) - 数量 : 999998"", ""3.5日 84時間（超高速無限データ）（有効期間180日）(+210円) - 数量 : 999995""], ""representative_option"": [""5日 120時間（超高速無限データ）（有効期間180日）(+450円) - 数量 : 999977"", ""title_match_score=8""], ""price_jpy"": [""販売価格 920円 + option surcharge 450"", ""5日 120時間（超高速無限データ）（有効期間180日）(+450円) - 数量 : 999977""], ""usage_validity"": [""5日 120時間（超高速無限データ）（有効期間180日）(+450円) - 数量 : 999977""], ""activation_validity"": [""5日 120時間（超高速無限データ）（有効期間180日）(+450円) - 数量 : 999977""], ""data_amount"": [""5日 120時間（超高速無限データ）（有効期間180日）(+450円) - 数量 : 999977""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""正規eSIM 即時対応 年間90万枚突破""], ""review_count"": [""search_result: 13""], ""seller_badge"": [""search_result: General seller""]}"
qoo10_jp,kr,韓国 eSIM 安心 2-6日間 超高速データ無制限 正規 オンラインサービスにて納品 韓国旅行 eSIM 3日間 eSIM 4日間 eSIM 5日間 eSIM 6日間 eSIM 2日間 韓国eSIM,2190,,General seller,16,,,,6일,6일,180일,local,"{""skt"": null, ""kt"": null, ""lgu"": null}","{""skt"": null, ""kt"": null, ""lgu"": null}",unlimited,https://www.qoo10.jp/item/%e9%9f%93%e5%9b%bd-ESIM-%e5%ae%89%e5%bf%83-2-6%e6%97%a5%e9%96%93-%e8%b6%85%e9%ab%98%e9%80%9f%e3%83%87%e3%83%bc%e3%82%bf%e7%84%a1%e5%88%b6%e9%99%90-%e6%ad%a3%e8%a6%8f-%e3%82%aa%e3%83%b3%e3%83%a9%e3%82%a4%e3%83%b3%e3%82%b5%e3%83%bc%e3%83%93%e3%82%b9%e3%81%ab%e3%81%a6%e7%b4%8d%e5%93%81-%e9%9f%93%e5%9b%bd%e6%97%85%e8%a1%8c-ESIM-3%e6%97%a5%e9%96%93-ESIM/1181407110,,1181407110,esim world,,"{""title"": [""韓国 eSIM 安心 2-6日間 超高速データ無制限 正規 オンラインサービスにて納品 韓国旅行 eSIM 3日間 eSIM 4日間 eSIM 5日間 eSIM 6日間 eSIM 2日間 韓国eSIM""], ""option_candidates"": [""2日 48時間（超高速無限データ）（有効期間180日） - 数量 : 999999"", ""2.5日 60時間（超高速無限データ）（有効期間180日）(+150円) - 数量 : 999999"", ""3日 72時間（超高速無限データ）（有効期間180日）(+180円) - 数量 : 999999""], ""representative_option"": [""6日 144時間（超高速無限データ）（有効期間180日）(+730円) - 数量 : 999999"", ""title_match_score=8""], ""price_jpy"": [""販売価格 1,460円 + option surcharge 730"", ""6日 144時間（超高速無限データ）（有効期間180日）(+730円) - 数量 : 999999""], ""usage_validity"": [""6日 144時間（超高速無限データ）（有効期間180日）(+730円) - 数量 : 999999""], ""activation_validity"": [""6日 144時間（超高速無限データ）（有効期間180日）(+730円) - 数量 : 999999""], ""data_amount"": [""6日 144時間（超高速無限データ）（有効期間180日）(+730円) - 数量 : 999999""], ""network_type"": [""qoo10_local_signal: 【SKTelecoｍ公式認証】韓国eSIM 3日間(72時間) 電話番号付き 超高速データ無制限 最初の5分発信無料(韓国国内) LINE即日発行 ご購入日より120日以内 韓国SIM 1,980円 1,680円 4.9 (36,310)""], ""seller"": [""esim world""], ""seller_badge"": [""search_result: General seller""]}"
